fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
21227,Kentucky,Warren,2021-12-14 05:00:00,403.25,221.0,5379.0,1159.3223806571605,2021,eaglei_outages_2021_merged.csv,403.25
21111,Kentucky,Jefferson,2018-02-22 15:45:00,273.25,210.0,2552.0,463.7923147301007,2018,eaglei_outages_2018_merged.csv,273.25
21185,Kentucky,Oldham,2018-02-23 21:30:00,243.5,288.0,559.0,489.0441478439425,2018,eaglei_outages_2018_merged.csv,243.5
21025,Kentucky,Breathitt,2022-07-28 05:15:00,213.25,257.0,3078.0,1487.21101992966,2022,eaglei_outages_2022_merged.csv,213.25
21193,Kentucky,Perry,2022-07-28 03:30:00,212.25,202.0,4463.0,2524.2744405182566,2022,eaglei_outages_2022_merged.csv,212.25
21119,Kentucky,Knott,2022-07-28 05:30:00,186.0,262.0,5965.0,2926.1559139784945,2022,eaglei_outages_2022_merged.csv,186.0
21089,Kentucky,Greenup,2021-02-11 01:15:00,182.0,211.0,5897.0,2776.289835164835,2021,eaglei_outages_2021_merged.csv,182.0
21043,Kentucky,Carter,2021-02-11 02:30:00,180.75,633.0,11506.0,6474.872752420471,2021,eaglei_outages_2021_merged.csv,180.75
21019,Kentucky,Boyd,2021-02-11 03:30:00,179.75,252.0,17376.0,9461.246175243394,2021,eaglei_outages_2021_merged.csv,179.75
21127,Kentucky,Lawrence,2021-02-11 07:45:00,175.5,276.0,9645.0,4333.189458689459,2021,eaglei_outages_2021_merged.csv,175.5
21063,Kentucky,Elliott,2021-02-11 15:15:00,168.0,732.0,3545.0,1854.125,2021,eaglei_outages_2021_merged.csv,168.0
21065,Kentucky,Estill,2020-08-28 22:30:00,159.0,397.0,402.0,397.1022012578616,2020,eaglei_outages_2020_merged.csv,159.0
21133,Kentucky,Letcher,2022-07-28 05:45:00,157.5,228.0,8417.0,3568.663492063492,2022,eaglei_outages_2022_merged.csv,157.5
21085,Kentucky,Grayson,2023-03-03 19:15:00,149.75,217.0,7732.0,3001.1569282136893,2023,eaglei_outages_2023_merged.csv,149.75
21111,Kentucky,Jefferson,2023-03-03 20:30:00,148.25,222.0,82578.0,34134.99662731872,2023,eaglei_outages_2023_merged.csv,148.25
21067,Kentucky,Fayette,2023-03-03 20:30:00,144.0,300.0,52488.0,23019.81770833333,2023,eaglei_outages_2023_merged.csv,144.0
21061,Kentucky,Edmonson,2023-03-03 19:30:00,140.5,202.0,4530.0,2226.7829181494662,2023,eaglei_outages_2023_merged.csv,140.5
21185,Kentucky,Oldham,2023-03-03 21:15:00,138.5,215.0,14419.0,4264.079422382672,2023,eaglei_outages_2023_merged.csv,138.5
21127,Kentucky,Lawrence,2021-02-23 18:45:00,127.25,220.0,2935.0,1300.106090373281,2021,eaglei_outages_2021_merged.csv,127.25
21239,Kentucky,Woodford,2023-03-03 20:30:00,123.75,295.0,11346.0,5540.496969696969,2023,eaglei_outages_2023_merged.csv,123.75
21073,Kentucky,Franklin,2023-03-03 21:00:00,123.25,246.0,4545.0,1747.4442190669372,2023,eaglei_outages_2023_merged.csv,123.25
21019,Kentucky,Boyd,2021-02-18 15:30:00,123.0,2301.0,13246.0,6542.424796747968,2021,eaglei_outages_2021_merged.csv,123.0
21043,Kentucky,Carter,2021-02-18 15:30:00,123.0,3283.0,8010.0,4973.705284552845,2021,eaglei_outages_2021_merged.csv,123.0
21063,Kentucky,Elliott,2021-02-18 15:30:00,123.0,1340.0,2574.0,1970.3963414634147,2021,eaglei_outages_2021_merged.csv,123.0
21089,Kentucky,Greenup,2021-02-18 15:30:00,123.0,234.0,4064.0,1360.8536585365853,2021,eaglei_outages_2021_merged.csv,123.0
21115,Kentucky,Johnson,2021-02-18 15:30:00,123.0,1614.0,4432.0,2675.3861788617887,2021,eaglei_outages_2021_merged.csv,123.0
21127,Kentucky,Lawrence,2021-02-18 15:30:00,123.0,2919.0,7237.0,5168.331300813008,2021,eaglei_outages_2021_merged.csv,123.0
21205,Kentucky,Rowan,2021-02-18 15:30:00,122.5,210.0,2350.0,999.8326530612244,2021,eaglei_outages_2021_merged.csv,122.5
21099,Kentucky,Hart,2023-03-03 20:30:00,122.5,297.0,7655.0,2741.6938775510203,2023,eaglei_outages_2023_merged.csv,122.5
21227,Kentucky,Warren,2023-03-03 18:45:00,120.75,201.0,27331.0,5620.567287784679,2023,eaglei_outages_2023_merged.csv,120.75
